T,P,S,D,R,WP,Denier
-1,-1,-1,-1,-1,1,445.5
-1,-1,-1,-1,1,1,437.1
-1,-1,-1,1,-1,1,198
-1,-1,-1,1,1,1,151.8
-1,-1,1,-1,-1,2,147
-1,-1,1,-1,1,2,88.5
-1,-1,1,1,-1,2,90
-1,-1,1,1,1,2,74.2
-1,1,-1,-1,-1,3,890
-1,1,-1,-1,1,3,864.9
-1,1,-1,1,-1,3,317.2
-1,1,-1,1,1,3,249.3
-1,1,1,-1,-1,4,299.2
-1,1,1,-1,1,4,292.9
-1,1,1,1,-1,4,164.2
-1,1,1,1,1,4,125.5
1,-1,-1,-1,-1,5,434.2
1,-1,-1,1,-1,5,231
1,-1,-1,1,1,5,113.4
1,-1,1,-1,-1,6,144.9
1,-1,1,-1,1,6,67.5
1,-1,1,1,-1,6,73.3
1,-1,1,1,1,6,55.8
1,1,-1,-1,-1,7,882.6
1,1,-1,-1,1,7,891.3
1,1,-1,1,-1,7,334.5
1,1,-1,1,1,7,207.9
1,1,1,-1,-1,8,277.2
1,1,1,-1,1,8,274.8
1,1,1,1,-1,8,168.6
1,1,1,1,1,8,120.3
