"","T","P","S","D","R","WP","Denier"
"1",-1,-1,-1,-1,-1,"1",445.5
"2",-1,-1,-1,-1,1,"1",437.1
"3",-1,-1,-1,1,-1,"1",198
"4",-1,-1,-1,1,1,"1",151.8
"5",-1,-1,1,-1,-1,"2",147
"6",-1,-1,1,-1,1,"2",88.5
"7",-1,-1,1,1,-1,"2",90
"8",-1,-1,1,1,1,"2",74.2
"9",-1,1,-1,-1,-1,"3",890
"10",-1,1,-1,-1,1,"3",864.9
"11",-1,1,-1,1,-1,"3",317.2
"12",-1,1,-1,1,1,"3",249.3
"13",-1,1,1,-1,-1,"4",299.2
"14",-1,1,1,-1,1,"4",292.9
"15",-1,1,1,1,-1,"4",164.2
"16",-1,1,1,1,1,"4",125.5
"17",1,-1,-1,-1,-1,"5",434.2
"18",1,-1,-1,1,-1,"5",231
"19",1,-1,-1,1,1,"5",113.4
"20",1,-1,1,-1,-1,"6",144.9
"21",1,-1,1,-1,1,"6",67.5
"22",1,-1,1,1,-1,"6",73.3
"23",1,-1,1,1,1,"6",55.8
"24",1,1,-1,-1,-1,"7",882.6
"25",1,1,-1,-1,1,"7",891.3
"26",1,1,-1,1,-1,"7",334.5
"27",1,1,-1,1,1,"7",207.9
"28",1,1,1,-1,-1,"8",277.2
"29",1,1,1,-1,1,"8",274.8
"30",1,1,1,1,-1,"8",168.6
"31",1,1,1,1,1,"8",120.3
